0,State,Date,Text
Kylie of Winterville, NC," May 16, 2014","I just completed a flight on American Airlines. I had read negative reviews, but I found the American Airlines people I had contact with were great, tried to provide all the service they could because our flight had been cancelled due WX and had to layover at ORD. My complaint is the phoney coupon given for a hotel room for a ""discounted rate"". The coupon has nothing to do with American Airlines, but is only a hotel booking service. When I called the phone number provided I was told the only available room was 10 miles away and given a rate of $80.00. It was getting late in the evening so took it. Then was advised there was a $15 service charge to book the room. American Airline paid none of this. The shuttle bus to the hotel was packed (Other delayed passengers). When I got home I checked the hotel rate and found the same room went for $105. I ""saved"" $10. The hotel was a Holiday Inn Express. Room not bad."
Cynthia of Brookings, SD," May 15, 2014","I was en route from San Antonio Texas to Hong Kong and when checking in for the domestic portion of the flight at the ticket counter, the woman claimed there was a problem with my passport. I asked for details and she claimed ""There are spots on your passport."" I told her the passport was still valid and did not expire until the following year."" She made up some baloney about Homeland Security not letting people fly with spots on their passport. I told her I checked their website and there was no mention of anything like that. She then claimed, ""Oh, they don't tell you."" I said, ""Then how are you supposed to know?"" She then sarcastically claimed I needed glasses, so I put my glasses on and told her those so called spots are not a problem. "
Christine of Lewes, DE," May 10, 2014","On 10/21/17 Gate L8 Karen. I approached to asked a question this was the initial gate for my flight, she totally ignored me never acknowledged my presence. After about 10 minutes I walked away from the counter. She IMMEDIATELY acknowledged the person that was behind me... I guess I wasn't the right person for her to service."
miosoty of Hartford, CT," May 10, 2014","Where do I even begin? I had a round trip flight booked from Toronto, Ontario to Busan, South Korea back in the month of July (2017). While I was away, I heard the news that my dad had passed away. In which, I contacted American Airlines right away and asked if anything can be done. I wanted to fly back before my actual trip date, due to obvious reasons. I even offered to provide them with a death certificate if need be (although, I don't think that is even something they should ask for right away). I spoke to 3 different customer service reps who were all horrible to speak with. They had zero compassion and empathy and just dismissed me as if what I was experiencing was far from a big deal to them. "
Tabitha of Vale, NC," May 8, 2014","I was on the plane for 14 hours due to a delay. Sitting in a broken seat that would not recline. I told the stewardess and she could care less, said nothing she can do. After I got home I contacted the airline and they issued me a fourteen dollar credit. I had paid 197.34 dollars for preferred seats. The worst flight of my life, never again w/ this airline."
Kristen of Denver, CO," May 7, 2014","Overall, (Un)American Airlines continues to disappoint. I really only ever fly with AA as a last resort, and I can't see any reason to recommend traveling with AA. I was prior active duty Army, and now I'm a reservist, and only American Airlines makes me feel like my service is less important now. United, Southwest, Jet Blue, Delta, every other airline doesn't discriminate between Active Duty and Reserve/Guardsmen when it comes to bag fees. So, along with uncomfortable, outdated planes and poor service, I spent a $100 checking bags to and from my destination."
rebecca of New Albany, IN," May 5, 2014",American Airlines is the worst airlines to fly anywhere. They cram you in the seats with no leg room or any room for that matter. I requested a wheelchair at airport and waited 30 minutes upon someone finally arriving. They took me the wrong way to my next check in and I missed my flight. They said I would have to rebook my ticket and just wait for the next flight. Attendant at the gate was very disrespectful and not helpful at all. I had no control over this situation at all. Not to mention when I did finally arrive at my destination that I requested a wheelchair prior to my departure.
Lisa of Beverly, MA," April 24, 2014","American Airlines is the worst airline in THE WORLD, and should change their name, it is utterly disgraceful that as an American they use this name. Their policy is to not apologize for anything, to be as rude as possible to people who are basically held hostage to them and their BS policies like closing the door to the gate while people are standing there then charging them money to rebook their flight, not caring at all about the bags on their way to a destination without the owners there to pick them up. Then being told when lodging a complaint that it was going in one ear and out the other. I have never been treated so poorly in my life, I will never again fly with this airline, I hope they go bankrupt and get the worst karma life can give. Oh yeah and I get to fly with them tomorrow. :/"
Gina of Wethersfield, CT," April 22, 2014","Very disappointed. Unlikely I will ever choose American Airlines again. I didn't make my flight in the spring. I was given a voucher to use for future travel. Now I'm being told I can only use it myself, and not for my family. I don't want to use it for myself. What difference does it make? I'm being told different things by different people. The last guy hung up on me and I wasn't even rude to him. This is how AA does business? All I want is to not be penalized for cancelling a flight that was beyond my control. If you have a voucher it should be flexible to use for anyone. AA is the WORST! Hope they go out of business for this nonsense. Airline travel is a joke."
Jodi-Ann of New Haven, CT," April 19, 2014","American Airlines canceled my 92-year-old father-in-law's flight to Key West due to Hurricane Irma. On that day American Airline was contacted and the representative said there would be no problem re-booking, just use the reference number. American Airlines even went on TV and said they would waive re-booking fees. Today when calling to re-book the flight and after 57 minutes on the phone, I was told the flight could not be re-booked because it was in their notes I requested a refund. At no time did I request a refund and American Airlines could not locate any record of a refund request. Even so, American Airlines still insisted they could not re-book the flight or issue a refund. If we did not have enough trouble dealing with a Cat 4 hurricane and its devastating aftermath, now American Airlines is adding to the misery. All my father-in-law wants is to come to Key West and see that everyone is alright. Thanks, AA."
Wanda of Vineland, NJ," April 18, 2014",I bought tickets for my mother in law and son to meet my wife and I in Colorado. We had traveled on different airlines due to connections and therefore were going back on different airlines. My wife and I left on our airplane. My mother in law and son were stranded as the plane had a mechanical. This was 8 AM and the bottom line was it didn't get fixed that day. American gave them a 12.00 voucher good in the terminal and did nothing to get them a room as the rooms they usually used weren't available.
Francisco of Glassboro, NJ," April 15, 2014","I booked 2 separate flights on American Airlines in Economy since I pay for my air travel. On one they pre-assigned me a back-of-plane middle seat and said that I was required to pay some increased fee for window, aisle or closer to the front. On the second flight they said I have to wait until I reach the boarding gate for any seat. This is ridiculous and unacceptable. The airline has sufficient revenue to - just a suggestion - increase the ""base"" fare to cover a first-come-first-served seat selection and not put everyone into 3rd class or worse status. If they want to surcharge certain premium seats, like middle seats toward the front, that's OK, but this behavior is totally unacceptable and I refuse to fly them (or any airline) that abuses their passengers."
Michelle of Miami, FL," April 14, 2014",Well I looked into changing my flight for my fiance and I to go home a day earlier... only to discover that American charges $200.00 a ticket PLUS the difference in price tickets! LIKE THAT IS GREAT CUSTOMER SERVICE! So for the price of another ticket I can change my flight! I will be looking elsewhere for flights in the future. I have already paid for a flight and now you are trying to rip me off even more!?! Out of touch and terrible service to a customer of over 5 years. I will be going elsewhere where I don't get bent over the table. Thank you American!
Joanna of Paris, IL," April 12, 2014","I originally booked my flight to Miami from Washington, DC back in July 2017. I was scheduled to fly September 13-18, 2017. I, like many, had to cancel my trip because of hurricane Irma. I was informed by two customer service representatives that I would be able to rebook my flight to Miami with no additional charges in fare and no change fees. Of course, when it comes time to book my flight, I'm informed about a change fee. I told the agent, I was reassured twice that I would not be charged any additional fees because my initial cancellation was weather related. "
Daniel of Austin, TX," April 1, 2014","American Airlines is full of **. Our cruise was cancelled due to Hurricane Irma. It was beyond our control and the airline stated there was nothing that they could do. No partial credit, changes or anything! I will not be flying with them anymore!"
Thomas of Salisbury, CT," March 29, 2014",My husband and I were scheduled to fly out at 7:15 am to go to California for a very important family matter. We do not live near the airport so we were up early to make sure we were early and nothing could go wrong. But things did go wrong. When we got to the airport we went and printed out tickets at the self checkout. We did notice that it mentioned no overhead storage for our carry on bags. So confused because we fly a lot and there is always overhead storage or they place in under the cabin. So we asked a lady that was standing in the area of self print and she looked and our tickets said we would be fine... Again we were told wrong.
paula of Clyde River, NS," March 19, 2014","On September 4 my family of 5 arrived at the airport in Anchorage to fly home to Toronto via Dallas. Four of us had carry-on sized luggage but one had a mid-sized suitcase that we knew we would have to check. Our flight to Toronto included a 12.5-hour connection at DFW (not by choice). Since none of us sleep well on planes, we were considering going to a hotel following the overnight flight to DFW. When checking the suitcase, I specifically asked the American Airlines agent ""if we only check this bag to DFW and then go to a hotel for a few hours of sleep, will we be charged a second baggage fee to check the bag in for the flight to Toronto? If so we can rearrange the bags so that we can just check it through to Toronto."" "
Stacie of Muskogee, OK," March 15, 2014","I purchased the basic economy ticket. When I was getting ready to board in Charlotte, the attendant mentioned that this was a new program for your airline and that customers have stated it was cost effective. However, this was not my case! I paid nearly $600 to fly from Columbus, OH to Asheville, NC. Absolutely absurd!!! In the future, I will do all I can to avoid flying with your airline and don't count on a positive recommendation from me to others! Also, stop charging for the first piece of checked in luggage!"
Jackie of North Bay Village, FL," March 10, 2014","I did a reservation with AA Sept 10, 2017 over the phone to Miami for Sept 12, 2017 in the flight # 1399. September 11 I checked the flight online and it was canceled. I called customer service. Patricia told me that I was wrong it wasn't cancel. I called at night again because I was worried I saw it was still cancel. After almost 2 hours they answered the phone. I told them what happened. They told me that they were very sorry but the flight was canceled and they didnt' have flight for Sept 12. They gave me 1 stop flight for Sept 13. "
jim of Redondo Beach, CA," Feb. 27, 2014","I was scheduled to fly out of Tampa International on Sunday, September, 17th to Durango, CO. I live in Sarasota, and just returned home the other day after evacuating for Hurricane Irma. I fled Florida and headed to Georgia, where I had to rent a hotel for a few nights. When I returned home I was fortunate enough not to have suffered damage. I of course have yard debris strewn about and I am still without power. The power company has estimated by the end of the day on September 22nd I will have power. With the extra costs incurred from having to leave my home, and the loss of power, I decided this was not a good time to travel."
T of Round Hill, VA," Feb. 25, 2014","Hurricane Irma was mess for AA. I get it. I'm sure there were thousands who were stuck trying to get their flights changed. Unfortunately, I was in Costa Rica with a connection via Miami and I got, as the AA agent said ""the short end of the stick."" I would be stuck almost another week in Costa Rica as everything AA had was booked out or cancelled. I saw a little bit of silver lining when I found that if I could get to Mexico city, I could fly home via DFW. However, AA would not change the ticket as it is against their rules to change the country of origin on a ticket. ""We cannot do it."" However, a more accurate description is ""will not."""
Maxim of West Hollywood, CA," Feb. 20, 2014","We were delayed on our AA out of Seattle due to having to wait on flight crew. Managed to make it to Dallas on time BUT had to sit on the tarmac for 20 mins waiting for a gait in order to deplane. This caused to miss our connecting flight. Next available flight is the next day. Asked about compensation for overnight hotel stay (there are 7 in our party, including a 3 year old) and were denied due to the delay being coded as weather related, which is absolutely bogus. So livid, frustrated, and tired at this point. Also found out AA has no number to call for complaints... You have to go through email so who knows if they will even read it or reply. Will never fly AA again if I can help it."
Chhi of San Diego, CA," Feb. 18, 2014","I was on an almost 2 hour flight (Flight AA3936) stuck sitting with one leg over my bag and the other on the edge of the aisle. Not once was I asked to check in my bag nor told it wouldn't fit on the overhead bin. By the time we landed my knees, hips and back were killing me and I had to have help from the gentleman next to me to be able to stand up. So glad there wasn't an emergency 'cause this would have been one hell of a hazard. Lesson learned not to use this airline again."
Deena of East Stroudsburg, PA," Feb. 16, 2014","American Airlines‰Û_the new standard for horrible service. Oh‰Û_I mean HORRIBLE! I travel very frequently for work and have stuck to one specific airline in order to build my status with them (ie. first class upgrades often, better seat choices, free checked bags). Recently, service has taken a turn for the worse. I‰Ûªm a reasonable guy and tolerate more than most. Call it my Southern hospitality, my upbringing or my service to the community when I served in law enforcement, but I just plain put up with more‰Û_until now."
David of Fly Creek, NY," Feb. 14, 2014","I travel 80%~ for Work and have flown with almost every airline multiple times. AA is by far the worst. Not due to their customer service/staff/delays or anything like that (at least that I‰Ûªve noticed), but their planes have no entertainment system on each seat, they do not play movies on the overhead screens, and they don‰Ûªt even have a free WiFi movie/tv option you can connect to using your phone! I‰Ûªm currently on a flight from Boston to Phoenix and was utterly shocked when I sat in my seat and noticed no form of entertainment for a cross-country flight. Delta and other airlines provide personal entertainment screens on each screen or a smartphone connect feature for 2+ hr flights, which in turn make the flights more enjoyable. Anyways, to avoid rambling on and on about the lack of technology on AA planes I‰Ûªll just say if you enjoyed traveling in the late 90s early 2000s, then AA is for you. If you want to travel in 2017 and beyond, find a different airline."
shery of Billings, MT," Feb. 13, 2014","I had a horrible experience today on my flight back to Miami. I have been an AAdvantage member for many years now and have always chosen to be loyal to American but after today's experience that may change. The onboarding process was fine and the flight was on time, which to be honest is rare but I was happy. When the snacks and beverage cart came the attendant did not smile, looked unhappy to take our beverage order, handed me and my husband 2 cookies, I then I told her, ""Can we just get pretzels?"" She said ""Then I need the cookies back."" I was honestly appalled."
Lincoln of Carlsbad, CA," Feb. 11, 2014","Don't deserve single star. Also, I have a flight from Chicago to Minneapolis 5 hours from now. And they have seats available on the earlier flight but won't give you without charging $75. They are ok to make you wait or fly a flight with empty seats but no customer delight which is no cost to them. No customer driven company and not looking for going extra mile to make customer happy. Never travel on American Airlines again."
Wendy of Haddonfield, NJ," Feb. 7, 2014","Worst experience ever with AA never again, they treated my dad like garbage, they humiliated my dad in front of my niece travelling with him and in front of all passengers, just because my dad is ** and not fluent in English. I wish I could sue them for discrimination against my dad for not speaking English fluent instead of offering assistance in Spanish which, the sky harbor airport in Arizona has plenty of bilingual employees. DO NOT FLY AA EVER, pay more with a different airline. The only reason why my dad and niece flew AA to go to my brother's funeral, thank you AA for the worst day ever. It's a shame I have to put a star instead of no stars service."
Jaqcqueline of Laurel, MD," Feb. 5, 2014","This American Airlines review is out of frustration due to a lot of things. They're a disgrace! The employees are rude, there is no leg room, no entertainment, and treat people like herds of sheep. They have a ""New"" rule where they charge $50 at the gate to carry on your luggage. Are you kidding me? $50 for a carry on? And I can't even use the overhead bin! Disgraceful! Basically these guys are crooks! They're a disgrace. Last time I flew with American their flight was delayed by 2 hours and we ended up missing our connecting flight because it was the last flight out. We ended up having to stay an extra day and had to pay $100 for a hotel. We missed my sisters wedding. On the way back we ended up stuck on the tarmac for 2 hours. Of course!"
Denden of Newport, RI," Jan. 31, 2014","I booked a ticket back when the hurricane were hitting down south every other week. Because of that I was not able to attend my trip in GA. They told me I had up to a year to use my ticket. So when I try to rebook my ticket they are now close to $500. Mind you this is the highest rate out of all the airlines for my particular dates, I asked for a refund because I didn't wanna double what I paid the first time and I was told by the Supervisor (Willie ** in Dallas ) that my only option was to ""use it or lost it"". Being a supervisor myself I thought the tone in which he said it was very careless and he didn't try to help the situation at all. I would never talk to my customers the way he spoke to me especially after losing out on $300!!"
allen of Sacramento, CA," Jan. 29, 2014","I just completed a flight on American Airlines. I had read negative reviews, but I found the American Airlines people I had contact with were great, tried to provide all the service they could because our flight had been cancelled due WX and had to layover at ORD. My complaint is the phoney coupon given for a hotel room for a ""discounted rate"". The coupon has nothing to do with American Airlines, but is only a hotel booking service. When I called the phone number provided I was told the only available room was 10 miles away and given a rate of $80.00. It was getting late in the evening so took it. Then was advised there was a $15 service charge to book the room. American Airline paid none of this. The shuttle bus to the hotel was packed (Other delayed passengers). When I got home I checked the hotel rate and found the same room went for $105. I ""saved"" $10. The hotel was a Holiday Inn Express. Room not bad."
Bel of Jakarta, Other," Jan. 24, 2014","I was en route from San Antonio Texas to Hong Kong and when checking in for the domestic portion of the flight at the ticket counter, the woman claimed there was a problem with my passport. I asked for details and she claimed ""There are spots on your passport."" I told her the passport was still valid and did not expire until the following year."" She made up some baloney about Homeland Security not letting people fly with spots on their passport. I told her I checked their website and there was no mention of anything like that. She then claimed, ""Oh, they don't tell you."" I said, ""Then how are you supposed to know?"" She then sarcastically claimed I needed glasses, so I put my glasses on and told her those so called spots are not a problem. "
Shelley of Salt Lake City, UT," Jan. 15, 2014","On 10/21/17 Gate L8 Karen. I approached to asked a question this was the initial gate for my flight, she totally ignored me never acknowledged my presence. After about 10 minutes I walked away from the counter. She IMMEDIATELY acknowledged the person that was behind me... I guess I wasn't the right person for her to service."
Robert of High Springs, FL," Jan. 13, 2014","Where do I even begin? I had a round trip flight booked from Toronto, Ontario to Busan, South Korea back in the month of July (2017). While I was away, I heard the news that my dad had passed away. In which, I contacted American Airlines right away and asked if anything can be done. I wanted to fly back before my actual trip date, due to obvious reasons. I even offered to provide them with a death certificate if need be (although, I don't think that is even something they should ask for right away). I spoke to 3 different customer service reps who were all horrible to speak with. They had zero compassion and empathy and just dismissed me as if what I was experiencing was far from a big deal to them. "
Sandy of Santa Barbara, CA," Jan. 10, 2014","I was on the plane for 14 hours due to a delay. Sitting in a broken seat that would not recline. I told the stewardess and she could care less, said nothing she can do. After I got home I contacted the airline and they issued me a fourteen dollar credit. I had paid 197.34 dollars for preferred seats. The worst flight of my life, never again w/ this airline."
Sanjivani of Brookline, MA," Jan. 9, 2014","Overall, (Un)American Airlines continues to disappoint. I really only ever fly with AA as a last resort, and I can't see any reason to recommend traveling with AA. I was prior active duty Army, and now I'm a reservist, and only American Airlines makes me feel like my service is less important now. United, Southwest, Jet Blue, Delta, every other airline doesn't discriminate between Active Duty and Reserve/Guardsmen when it comes to bag fees. So, along with uncomfortable, outdated planes and poor service, I spent a $100 checking bags to and from my destination."
barbara of Manville, NJ," Jan. 6, 2014",American Airlines is the worst airlines to fly anywhere. They cram you in the seats with no leg room or any room for that matter. I requested a wheelchair at airport and waited 30 minutes upon someone finally arriving. They took me the wrong way to my next check in and I missed my flight. They said I would have to rebook my ticket and just wait for the next flight. Attendant at the gate was very disrespectful and not helpful at all. I had no control over this situation at all. Not to mention when I did finally arrive at my destination that I requested a wheelchair prior to my departure.
Courtney of Batimore, MD," Dec. 26, 2013","American Airlines is the worst airline in THE WORLD, and should change their name, it is utterly disgraceful that as an American they use this name. Their policy is to not apologize for anything, to be as rude as possible to people who are basically held hostage to them and their BS policies like closing the door to the gate while people are standing there then charging them money to rebook their flight, not caring at all about the bags on their way to a destination without the owners there to pick them up. Then being told when lodging a complaint that it was going in one ear and out the other. I have never been treated so poorly in my life, I will never again fly with this airline, I hope they go bankrupt and get the worst karma life can give. Oh yeah and I get to fly with them tomorrow. :/"
Louis of Saint Louis, MO," Dec. 19, 2013","Very disappointed. Unlikely I will ever choose American Airlines again. I didn't make my flight in the spring. I was given a voucher to use for future travel. Now I'm being told I can only use it myself, and not for my family. I don't want to use it for myself. What difference does it make? I'm being told different things by different people. The last guy hung up on me and I wasn't even rude to him. This is how AA does business? All I want is to not be penalized for cancelling a flight that was beyond my control. If you have a voucher it should be flexible to use for anyone. AA is the WORST! Hope they go out of business for this nonsense. Airline travel is a joke."
Terrie of Toms River, NJ," Dec. 13, 2013","American Airlines canceled my 92-year-old father-in-law's flight to Key West due to Hurricane Irma. On that day American Airline was contacted and the representative said there would be no problem re-booking, just use the reference number. American Airlines even went on TV and said they would waive re-booking fees. Today when calling to re-book the flight and after 57 minutes on the phone, I was told the flight could not be re-booked because it was in their notes I requested a refund. At no time did I request a refund and American Airlines could not locate any record of a refund request. Even so, American Airlines still insisted they could not re-book the flight or issue a refund. If we did not have enough trouble dealing with a Cat 4 hurricane and its devastating aftermath, now American Airlines is adding to the misery. All my father-in-law wants is to come to Key West and see that everyone is alright. Thanks, AA."
Kevin of Ada, OR," Dec. 11, 2013",I bought tickets for my mother in law and son to meet my wife and I in Colorado. We had traveled on different airlines due to connections and therefore were going back on different airlines. My wife and I left on our airplane. My mother in law and son were stranded as the plane had a mechanical. This was 8 AM and the bottom line was it didn't get fixed that day. American gave them a 12.00 voucher good in the terminal and did nothing to get them a room as the rooms they usually used weren't available.
Terrie of Toms River, NJ," Dec. 9, 2013","I booked 2 separate flights on American Airlines in Economy since I pay for my air travel. On one they pre-assigned me a back-of-plane middle seat and said that I was required to pay some increased fee for window, aisle or closer to the front. On the second flight they said I have to wait until I reach the boarding gate for any seat. This is ridiculous and unacceptable. The airline has sufficient revenue to - just a suggestion - increase the ""base"" fare to cover a first-come-first-served seat selection and not put everyone into 3rd class or worse status. If they want to surcharge certain premium seats, like middle seats toward the front, that's OK, but this behavior is totally unacceptable and I refuse to fly them (or any airline) that abuses their passengers."
Shawn of Reading, PA," Dec. 8, 2013",Well I looked into changing my flight for my fiance and I to go home a day earlier... only to discover that American charges $200.00 a ticket PLUS the difference in price tickets! LIKE THAT IS GREAT CUSTOMER SERVICE! So for the price of another ticket I can change my flight! I will be looking elsewhere for flights in the future. I have already paid for a flight and now you are trying to rip me off even more!?! Out of touch and terrible service to a customer of over 5 years. I will be going elsewhere where I don't get bent over the table. Thank you American!
C. of Little Canada, MN," Dec. 1, 2013","I originally booked my flight to Miami from Washington, DC back in July 2017. I was scheduled to fly September 13-18, 2017. I, like many, had to cancel my trip because of hurricane Irma. I was informed by two customer service representatives that I would be able to rebook my flight to Miami with no additional charges in fare and no change fees. Of course, when it comes time to book my flight, I'm informed about a change fee. I told the agent, I was reassured twice that I would not be charged any additional fees because my initial cancellation was weather related. "
junior of Brooklyn, NY," Nov. 22, 2013","American Airlines is full of **. Our cruise was cancelled due to Hurricane Irma. It was beyond our control and the airline stated there was nothing that they could do. No partial credit, changes or anything! I will not be flying with them anymore!"
millie of Washington, DC," Nov. 20, 2013",My husband and I were scheduled to fly out at 7:15 am to go to California for a very important family matter. We do not live near the airport so we were up early to make sure we were early and nothing could go wrong. But things did go wrong. When we got to the airport we went and printed out tickets at the self checkout. We did notice that it mentioned no overhead storage for our carry on bags. So confused because we fly a lot and there is always overhead storage or they place in under the cabin. So we asked a lady that was standing in the area of self print and she looked and our tickets said we would be fine... Again we were told wrong.
Julia of Lowell, NC," Nov. 18, 2013","On September 4 my family of 5 arrived at the airport in Anchorage to fly home to Toronto via Dallas. Four of us had carry-on sized luggage but one had a mid-sized suitcase that we knew we would have to check. Our flight to Toronto included a 12.5-hour connection at DFW (not by choice). Since none of us sleep well on planes, we were considering going to a hotel following the overnight flight to DFW. When checking the suitcase, I specifically asked the American Airlines agent ""if we only check this bag to DFW and then go to a hotel for a few hours of sleep, will we be charged a second baggage fee to check the bag in for the flight to Toronto? If so we can rearrange the bags so that we can just check it through to Toronto."" "
kelly of Canton, MI," Nov. 15, 2013","I purchased the basic economy ticket. When I was getting ready to board in Charlotte, the attendant mentioned that this was a new program for your airline and that customers have stated it was cost effective. However, this was not my case! I paid nearly $600 to fly from Columbus, OH to Asheville, NC. Absolutely absurd!!! In the future, I will do all I can to avoid flying with your airline and don't count on a positive recommendation from me to others! Also, stop charging for the first piece of checked in luggage!"
Cheryl of Live Oak, CA," Nov. 14, 2013","I did a reservation with AA Sept 10, 2017 over the phone to Miami for Sept 12, 2017 in the flight # 1399. September 11 I checked the flight online and it was canceled. I called customer service. Patricia told me that I was wrong it wasn't cancel. I called at night again because I was worried I saw it was still cancel. After almost 2 hours they answered the phone. I told them what happened. They told me that they were very sorry but the flight was canceled and they didnt' have flight for Sept 12. They gave me 1 stop flight for Sept 13. "
Leah of Denton, MD," Nov. 11, 2013","I was scheduled to fly out of Tampa International on Sunday, September, 17th to Durango, CO. I live in Sarasota, and just returned home the other day after evacuating for Hurricane Irma. I fled Florida and headed to Georgia, where I had to rent a hotel for a few nights. When I returned home I was fortunate enough not to have suffered damage. I of course have yard debris strewn about and I am still without power. The power company has estimated by the end of the day on September 22nd I will have power. With the extra costs incurred from having to leave my home, and the loss of power, I decided this was not a good time to travel."
Theresa of Versailles, MO," Nov. 11, 2013","Hurricane Irma was mess for AA. I get it. I'm sure there were thousands who were stuck trying to get their flights changed. Unfortunately, I was in Costa Rica with a connection via Miami and I got, as the AA agent said ""the short end of the stick."" I would be stuck almost another week in Costa Rica as everything AA had was booked out or cancelled. I saw a little bit of silver lining when I found that if I could get to Mexico city, I could fly home via DFW. However, AA would not change the ticket as it is against their rules to change the country of origin on a ticket. ""We cannot do it."" However, a more accurate description is ""will not."""
Rachel of Hatfield, PA," Nov. 4, 2013","We were delayed on our AA out of Seattle due to having to wait on flight crew. Managed to make it to Dallas on time BUT had to sit on the tarmac for 20 mins waiting for a gait in order to deplane. This caused to miss our connecting flight. Next available flight is the next day. Asked about compensation for overnight hotel stay (there are 7 in our party, including a 3 year old) and were denied due to the delay being coded as weather related, which is absolutely bogus. So livid, frustrated, and tired at this point. Also found out AA has no number to call for complaints... You have to go through email so who knows if they will even read it or reply. Will never fly AA again if I can help it."
Ali of Carbondale, CO," Oct. 29, 2013","I was on an almost 2 hour flight (Flight AA3936) stuck sitting with one leg over my bag and the other on the edge of the aisle. Not once was I asked to check in my bag nor told it wouldn't fit on the overhead bin. By the time we landed my knees, hips and back were killing me and I had to have help from the gentleman next to me to be able to stand up. So glad there wasn't an emergency 'cause this would have been one hell of a hazard. Lesson learned not to use this airline again."
Pat of Englewood, FL," Oct. 23, 2013","American Airlines‰Û_the new standard for horrible service. Oh‰Û_I mean HORRIBLE! I travel very frequently for work and have stuck to one specific airline in order to build my status with them (ie. first class upgrades often, better seat choices, free checked bags). Recently, service has taken a turn for the worse. I‰Ûªm a reasonable guy and tolerate more than most. Call it my Southern hospitality, my upbringing or my service to the community when I served in law enforcement, but I just plain put up with more‰Û_until now."
Pat of Englewood, FL," Oct. 23, 2013","I travel 80%~ for Work and have flown with almost every airline multiple times. AA is by far the worst. Not due to their customer service/staff/delays or anything like that (at least that I‰Ûªve noticed), but their planes have no entertainment system on each seat, they do not play movies on the overhead screens, and they don‰Ûªt even have a free WiFi movie/tv option you can connect to using your phone! I‰Ûªm currently on a flight from Boston to Phoenix and was utterly shocked when I sat in my seat and noticed no form of entertainment for a cross-country flight. Delta and other airlines provide personal entertainment screens on each screen or a smartphone connect feature for 2+ hr flights, which in turn make the flights more enjoyable. Anyways, to avoid rambling on and on about the lack of technology on AA planes I‰Ûªll just say if you enjoyed traveling in the late 90s early 2000s, then AA is for you. If you want to travel in 2017 and beyond, find a different airline."
Kim of Owensboro, KY," Oct. 18, 2013","I had a horrible experience today on my flight back to Miami. I have been an AAdvantage member for many years now and have always chosen to be loyal to American but after today's experience that may change. The onboarding process was fine and the flight was on time, which to be honest is rare but I was happy. When the snacks and beverage cart came the attendant did not smile, looked unhappy to take our beverage order, handed me and my husband 2 cookies, I then I told her, ""Can we just get pretzels?"" She said ""Then I need the cookies back."" I was honestly appalled."
Scott of Centreville, VA," Oct. 12, 2013","Don't deserve single star. Also, I have a flight from Chicago to Minneapolis 5 hours from now. And they have seats available on the earlier flight but won't give you without charging $75. They are ok to make you wait or fly a flight with empty seats but no customer delight which is no cost to them. No customer driven company and not looking for going extra mile to make customer happy. Never travel on American Airlines again."
Ronald of Tucson, AZ," Oct. 11, 2013","Worst experience ever with AA never again, they treated my dad like garbage, they humiliated my dad in front of my niece travelling with him and in front of all passengers, just because my dad is ** and not fluent in English. I wish I could sue them for discrimination against my dad for not speaking English fluent instead of offering assistance in Spanish which, the sky harbor airport in Arizona has plenty of bilingual employees. DO NOT FLY AA EVER, pay more with a different airline. The only reason why my dad and niece flew AA to go to my brother's funeral, thank you AA for the worst day ever. It's a shame I have to put a star instead of no stars service."
una of Ottawa, ON," Oct. 8, 2013","This American Airlines review is out of frustration due to a lot of things. They're a disgrace! The employees are rude, there is no leg room, no entertainment, and treat people like herds of sheep. They have a ""New"" rule where they charge $50 at the gate to carry on your luggage. Are you kidding me? $50 for a carry on? And I can't even use the overhead bin! Disgraceful! Basically these guys are crooks! They're a disgrace. Last time I flew with American their flight was delayed by 2 hours and we ended up missing our connecting flight because it was the last flight out. We ended up having to stay an extra day and had to pay $100 for a hotel. We missed my sisters wedding. On the way back we ended up stuck on the tarmac for 2 hours. Of course!"
Amber of Racine, WI," Oct. 7, 2013","I booked a ticket back when the hurricane were hitting down south every other week. Because of that I was not able to attend my trip in GA. They told me I had up to a year to use my ticket. So when I try to rebook my ticket they are now close to $500. Mind you this is the highest rate out of all the airlines for my particular dates, I asked for a refund because I didn't wanna double what I paid the first time and I was told by the Supervisor (Willie ** in Dallas ) that my only option was to ""use it or lost it"". Being a supervisor myself I thought the tone in which he said it was very careless and he didn't try to help the situation at all. I would never talk to my customers the way he spoke to me especially after losing out on $300!!"
Peter of Lakeland, FL," Oct. 7, 2013","I just completed a flight on American Airlines. I had read negative reviews, but I found the American Airlines people I had contact with were great, tried to provide all the service they could because our flight had been cancelled due WX and had to layover at ORD. My complaint is the phoney coupon given for a hotel room for a ""discounted rate"". The coupon has nothing to do with American Airlines, but is only a hotel booking service. When I called the phone number provided I was told the only available room was 10 miles away and given a rate of $80.00. It was getting late in the evening so took it. Then was advised there was a $15 service charge to book the room. American Airline paid none of this. The shuttle bus to the hotel was packed (Other delayed passengers). When I got home I checked the hotel rate and found the same room went for $105. I ""saved"" $10. The hotel was a Holiday Inn Express. Room not bad."
